Id,Category
0,3
1,10
2,3
3,9
4,6
5,3
6,9
7,10
8,3
9,2
10,3
11,0
12,8
13,10
14,0
15,4
16,9
17,2
18,7
19,9
20,3
21,5
22,3
23,3
24,9
25,0
26,10
27,0
28,2
29,8
30,5
31,9
32,8
33,3
34,2
35,2
36,8
37,10
38,10
39,3
40,6
41,9
42,0
43,0
44,5
45,1
46,10
47,3
48,10
49,9
50,10
51,1
52,3
53,8
54,9
55,8
56,7
57,9
58,6
59,9
60,5
61,8
62,6
63,3
64,10
65,8
66,3
67,9
68,4
69,10
70,2
71,6
72,6
73,8
74,5
75,6
76,3
77,3
78,9
79,9
80,0
81,3
82,9
83,8
84,8
85,0
86,0
87,4
88,8
89,6
90,2
91,4
92,0
93,5
94,6
95,6
96,9
97,2
98,6
99,10
100,9
101,3
102,8
103,5
104,4
105,9
106,6
107,5
108,9
109,10
110,5
111,5
112,5
113,3
114,9
115,10
116,9
117,7
118,9
119,3
120,8
121,5
122,0
123,5
124,3
125,9
126,5
127,8
128,10
129,9
130,8
131,2
132,10
133,0
134,0
135,3
136,9
137,10
138,10
139,9
140,8
141,10
142,5
143,8
144,9
145,0
146,9
147,5
148,2
149,5
150,2
151,0
152,7
153,0
154,10
155,9
156,8
157,9
158,8
159,2
160,5
161,8
162,5
163,0
164,8
165,0
166,8
167,8
168,3
169,9
170,8
171,2
172,4
173,5
174,1
175,6
176,2
177,10
178,8
179,7
180,9
181,8
182,9
183,6
184,10
185,9
186,8
187,3
188,0
189,4
190,7
191,3
192,6
193,4
194,7
195,4
196,8
197,9
198,9
199,9
200,9
201,8
202,8
203,9
204,4
205,6
206,7
207,9
208,8
209,9
210,2
211,2
212,8
213,6
214,1
215,2
216,10
217,0
218,9
219,5
220,5
221,5
222,5
223,6
224,5
225,5
226,9
227,9
228,6
229,3
230,7
231,9
232,7
233,8
234,3
235,9
236,9
237,10
238,3
239,9
240,2
241,3
242,0
243,4
244,6
245,5
246,0
247,9
248,10
249,9
250,9
251,3
252,9
253,9
254,5
255,9
256,0
257,9
258,3
259,0
260,8
261,8
262,10
263,10
264,5
265,9
266,1
267,3
268,0
269,9
270,9
271,3
272,10
273,8
274,2
275,9
276,9
277,10
278,9
279,0
280,9
281,8
282,2
283,3
284,10
285,0
286,8
287,6
288,0
289,10
290,9
291,0
292,8
293,10
294,5
295,6
296,7
297,0
298,10
299,5
300,8
301,9
302,4
303,1
304,0
305,10
306,8
307,8
308,9
309,4
310,9
311,0
312,1
313,8
314,2
315,8
316,9
317,7
318,8
319,9
320,3
321,0
322,5
323,7
324,9
325,3
326,5
327,6
328,10
329,4
330,8
331,0
332,5
333,9
334,1
335,2
336,3
337,3
338,5
339,10
340,9
341,6
342,5
343,8
344,3
345,7
346,3
347,6
348,4
349,9
350,7
351,10
352,6
353,2
354,6
355,2
356,3
357,10
358,8
359,9
360,4
361,5
362,10
363,5
364,3
365,5
366,5
367,10
368,10
369,0
370,9
371,4
372,3
373,0
374,3
375,3
376,9
377,9
378,8
379,5
380,10
381,7
382,3
383,2
384,10
385,0
386,9
387,10
388,10
389,3
390,0
391,0
392,10
393,10
394,7
395,3
396,8
397,8
398,9
399,9
400,9
401,8
402,9
403,9
404,7
405,3
406,10
407,0
408,5
409,4
410,9
411,6
412,3
413,7
414,3
415,7
416,8
417,5
418,3
419,8
420,5
421,4
422,5
423,10
424,3
425,8
426,9
427,6
428,9
429,8
430,9
431,0
432,7
433,8
434,1
435,2
436,8
437,10
438,1
439,9
440,10
441,4
442,9
443,0
444,2
445,3
446,2
447,3
448,3
449,9
450,9
451,9
452,3
453,3
454,6
455,6
456,5
457,4
458,8
459,7
460,10
461,9
462,10
463,10
464,3
465,1
466,7
467,7
468,9
469,1
470,5
471,4
472,8
473,8
474,9
475,8
476,6
477,1
478,2
479,6
480,0
481,5
482,3
483,1
484,10
485,5
486,9
487,9
488,5
489,9
490,9
491,10
492,7
493,2
494,5
495,5
496,8
497,10
498,9
499,10
500,6
501,9
502,5
503,1
504,0
505,6
506,6
507,8
508,10
509,10
510,2
511,6
512,9
513,9
514,3
515,2
516,9
517,9
518,5
519,9
520,2
521,8
522,7
523,9
524,8
525,2
526,0
527,9
528,6
529,8
530,9
531,1
532,4
533,9
534,7
535,10
536,3
537,0
538,8
539,10
540,2
541,3
542,8
543,0
544,9
545,8
546,0
547,5
548,3
549,10
550,8
551,8
552,9
553,0
554,3
555,8
556,0
557,1
558,6
559,2
560,1
561,8
562,5
563,8
564,5
565,0
566,8
567,9
568,10
569,3
570,9
571,3
572,10
573,5
574,9
575,2
576,9
577,7
578,1
579,3
580,8
581,3
582,5
583,9
584,3
585,10
586,8
587,3
588,3
589,5
590,9
591,10
592,9
593,5
594,0
595,9
596,5
597,0
598,4
599,8
600,5
601,10
602,3
603,6
604,5
605,9
606,9
607,5
608,5
609,3
610,5
611,9
612,2
613,8
614,5
615,10
616,9
617,9
618,0
619,9
620,7
621,3
622,4
623,8
624,7
625,0
626,0
627,5
628,9
629,6
630,3
631,0
632,2
633,3
634,9
635,3
636,9
637,0
638,8
639,6
640,10
641,0
642,3
643,1
644,3
645,3
646,6
647,9
648,5
649,3
650,7
651,10
652,8
653,5
654,8
655,5
656,5
657,8
658,9
659,9
660,0
661,6
662,8
663,9
664,9
665,8
666,0
667,5
668,7
669,0
670,7
671,9
672,3
673,8
674,5
675,5
676,3
677,5
678,5
679,0
680,1
681,2
682,2
683,5
684,3
685,7
686,10
687,4
688,10
689,6
690,5
691,9
692,9
693,5
694,0
695,3
696,6
697,8
698,9
699,9
700,9
701,8
702,10
703,0
704,0
705,10
706,8
707,0
708,8
709,9
710,7
711,8
712,6
713,9
714,6
715,3
716,3
717,0
718,0
719,9
720,10
721,6
722,4
723,10
724,9
725,4
726,5
727,3
728,9
729,4
730,8
731,9
732,8
733,6
734,2
735,3
736,3
737,0
738,8
739,7
740,3
741,3
742,8
743,3
744,7
745,2
746,3
747,3
748,6
749,8
750,9
751,1
752,8
753,5
754,3
755,0
756,8
757,10
758,9
759,10
760,2
761,8
762,2
763,8
764,8
765,9
766,8
767,9
768,9
769,10
770,5
771,4
772,0
773,3
774,6
775,8
776,8
777,5
778,10
779,4
780,4
